"region","inkomstslag","kön","ålder","inkomstklass","2002","2006","2010"
"2417 Norsjö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",197.0,225.2,245.8
"2417 Norsjö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.0,23.4,23.2
"2418 Malå","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",209.0,240.6,262.8
"2418 Malå","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.9,21.1,29.0
"2421 Storuman","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",189.6,213.9,245.1
"2421 Storuman","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",16.3,17.3,19.2
"2422 Sorsele","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",187.2,217.2,238.4
"2422 Sorsele","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.9,20.6,17.6
"2425 Dorotea","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",192.3,222.7,244.4
"2425 Dorotea","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.8,28.5,29.0
"2460 Vännäs","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.9,231.7,261.7
"2460 Vännäs","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.5,21.4,24.9
"2462 Vilhelmina","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",187.9,210.9,229.7
"2462 Vilhelmina","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.8,16.5,21.3
"2463 Åsele","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",193.2,212.8,233.2
"2463 Åsele","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,22.8,20.8
"2480 Umeå","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.4,230.1,261.0
"2480 Umeå","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.6,20.5,23.6
"2481 Lycksele","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.2,227.6,257.5
"2481 Lycksele","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.2,20.2,25.1
"2482 Skellefteå","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",209.6,236.1,266.8
"2482 Skellefteå","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.9,22.4,25.1
"2505 Arvidsjaur","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",203.9,233.7,262.3
"2505 Arvidsjaur","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.8,24.1,29.1
"2506 Arjeplog","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",195.6,219.7,250.6
"2506 Arjeplog","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.8,25.5,22.5
"2510 Jokkmokk","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",193.4,221.5,249.7
"2510 Jokkmokk","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.6,23.0,23.8
"2513 Överkalix","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",192.7,214.5,237.7
"2513 Överkalix","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.9,20.1,24.1
"2514 Kalix","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.6,231.0,257.8
"2514 Kalix","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.5,26.7,27.5
"2518 Övertorneå","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",184.7,209.5,229.3
"2518 Övertorneå","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",15.3,16.3,19.3
"2521 Pajala","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",188.9,216.4,245.9
"2521 Pajala","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",17.6,23.6,32.3
"2523 Gällivare","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",216.1,254.0,301.7
"2523 Gällivare","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.6,30.4,39.9
"2560 Älvsbyn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",197.3,225.0,249.3
"2560 Älvsbyn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.2,22.4,26.6
"2580 Luleå","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",213.5,240.5,272.6
"2580 Luleå","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.5,19.2,23.2
"2581 Piteå","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.4,237.4,268.8
"2581 Piteå","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.7,21.2,23.1
"2582 Boden","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.2,234.2,263.8
"2582 Boden","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.5,22.4,23.6
"2583 Haparanda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",181.1,208.8,233.4
"2583 Haparanda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.4,18.9,25.9
"2584 Kiruna","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",222.4,262.1,307.3
"2584 Kiruna","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.3,26.0,36.5
"0000 Sverige","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",225.1, 251.6, 280.3
"0000 Sverige","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser", 22.5, 22.9, 25.2
