"region","inkomstslag","kön","ålder","inkomstklass","2002","2006","2010"
"1265 Sjöbo","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",192.4,219.0,251.9
"1265 Sjöbo","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.7,23.1,27.8
"1266 Hörby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",197.1,222.0,250.5
"1266 Hörby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.8,24.6,31.2
"1267 Höör","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.2,234.3,267.8
"1267 Höör","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.1,22.6,26.6
"1270 Tomelilla","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",187.8,211.9,236.4
"1270 Tomelilla","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.2,27.1,29.4
"1272 Bromölla","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",215.6,238.4,259.6
"1272 Bromölla","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.3,24.1,23.7
"1273 Osby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.8,233.9,254.6
"1273 Osby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.4,27.0,25.2
"1275 Perstorp","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",213.9,234.7,249.0
"1275 Perstorp","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.7,30.0,29.3
"1276 Klippan","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",200.4,221.5,245.9
"1276 Klippan","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.9,22.7,26.1
"1277 Åstorp","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",199.3,223.5,245.2
"1277 Åstorp","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.7,24.9,26.7
"1278 Båstad","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",208.6,242.0,270.7
"1278 Båstad","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.2,19.5,25.5
"1280 Malmö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.3,230.2,256.7
"1280 Malmö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.3,18.6,22.1
"1281 Lund","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",221.7,249.0,278.6
"1281 Lund","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",17.7,18.9,20.8
"1282 Landskrona","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",202.1,225.7,247.7
"1282 Landskrona","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.5,21.2,24.0
"1283 Helsingborg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",221.9,252.5,281.1
"1283 Helsingborg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.7,21.5,24.0
"1284 Höganäs","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",237.4,268.0,296.0
"1284 Höganäs","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.4,22.5,24.8
"1285 Eslöv","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.6,231.7,261.9
"1285 Eslöv","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.7,21.6,25.2
"1286 Ystad","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.2,238.8,270.4
"1286 Ystad","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.3,19.7,23.5
"1287 Trelleborg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",210.6,235.3,263.5
"1287 Trelleborg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.0,19.8,23.8
"1290 Kristianstad","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",208.0,234.1,259.1
"1290 Kristianstad","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.2,20.7,23.0
"1291 Simrishamn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",198.7,221.3,245.4
"1291 Simrishamn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.0,21.7,24.3
"1292 Ängelholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",219.8,247.9,279.7
"1292 Ängelholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.3,23.4,24.7
"1293 Hässleholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",202.3,229.3,251.1
"1293 Hässleholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.3,22.3,23.2
"1315 Hylte","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.8,233.2,259.3
"1315 Hylte","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.4,28.8,29.8
"1380 Halmstad","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.9,233.2,263.2
"1380 Halmstad","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.1,22.8,25.4
"1381 Laholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",196.6,224.0,250.3
"1381 Laholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.1,26.4,26.6
"1382 Falkenberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",198.1,225.7,254.9
"1382 Falkenberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.5,24.8,30.4
