"region","ålder","2002","2006","2010"
"1498 Tidaholm","totalt ålder",12592,12601,12583
"1499 Falköping","totalt ålder",30849,31231,31469
"1715 Kil","totalt ålder",11907,11796,11692
"1730 Eda","totalt ålder",8655,8680,8539
"1737 Torsby","totalt ålder",13434,12957,12422
"1760 Storfors","totalt ålder",4612,4521,4319
"1761 Hammarö","totalt ålder",14202,14497,14910
"1762 Munkfors","totalt ålder",4085,3946,3770
"1763 Forshaga","totalt ålder",11463,11491,11309
"1764 Grums","totalt ålder",9320,9348,9143
"1765 Årjäng","totalt ålder",9757,9801,9861
"1766 Sunne","totalt ålder",13588,13592,13298
"1780 Karlstad","totalt ålder",80958,82855,85646
"1781 Kristinehamn","totalt ålder",23952,23883,23860
"1782 Filipstad","totalt ålder",11230,10891,10552
"1783 Hagfors","totalt ålder",13835,13192,12499
"1784 Arvika","totalt ålder",26268,26142,26071
"1785 Säffle","totalt ålder",16272,15952,15573
"1814 Lekeberg","totalt ålder",7044,7100,7130
"1860 Laxå","totalt ålder",6492,6073,5679
"1861 Hallsberg","totalt ålder",15642,15267,15251
"1862 Degerfors","totalt ålder",10337,10007,9665
"1863 Hällefors","totalt ålder",7814,7568,7221
"1864 Ljusnarsberg","totalt ålder",5504,5269,4927
"1880 Örebro","totalt ålder",125461,128863,135458
"1881 Kumla","totalt ålder",19081,19580,20409
"1882 Askersund","totalt ålder",11477,11465,11310
"1883 Karlskoga","totalt ålder",30603,30212,29686
"1884 Nora","totalt ålder",10503,10472,10402
"1885 Lindesberg","totalt ålder",23471,23071,23044
"1904 Skinnskatteberg","totalt ålder",4773,4735,4482
"1907 Surahammar","totalt ålder",10207,10123,9966
"1960 Kungsör","totalt ålder",8210,8217,8085
"1961 Hallstahammar","totalt ålder",14953,15020,15160
"1962 Norberg","totalt ålder",5862,5866,5707
"1980 Västerås","totalt ålder",128831,132886,137027
"1981 Sala","totalt ålder",21633,21338,21538
"1982 Fagersta","totalt ålder",12322,12175,12397
"1983 Köping","totalt ålder",24683,24701,24868
"1984 Arboga","totalt ålder",13588,13385,13267
"2021 Vansbro","totalt ålder",7232,6991,6839
"2023 Malung-Sälen","totalt ålder",10589,10478,10367
"2026 Gagnef","totalt ålder",10009,10133,10075
"2029 Leksand","totalt ålder",15304,15444,15260
"2031 Rättvik","totalt ålder",10896,10902,10846
"2034 Orsa","totalt ålder",7018,7021,6939
"2039 Älvdalen","totalt ålder",7611,7413,7214
"2061 Smedjebacken","totalt ålder",11182,10720,10732
"2062 Mora","totalt ålder",20039,20140,20162
"2080 Falun","totalt ålder",54820,55354,56007
"2081 Borlänge","totalt ålder",47039,47323,49232
"2082 Säter","totalt ålder",11057,11018,10840
"2083 Hedemora","totalt ålder",15617,15355,15162
"2084 Avesta","totalt ålder",22301,21960,21620
"2085 Ludvika","totalt ålder",25986,25495,25790
"2101 Ockelbo","totalt ålder",6096,6038,5934
"2104 Hofors","totalt ålder",10380,10111,9754
"2121 Ovanåker","totalt ålder",12204,11780,11435
"2132 Nordanstig","totalt ålder",10038,9799,9627
"2161 Ljusdal","totalt ålder",19754,19240,19098
"2180 Gävle","totalt ålder",91311,92410,95018
"2181 Sandviken","totalt ålder",36748,36750,36951
"2182 Söderhamn","totalt ålder",27278,26289,25631
"2183 Bollnäs","totalt ålder",26202,26301,26272
"2184 Hudiksvall","totalt ålder",37053,36965,36870
"2260 Ånge","totalt ålder",10957,10603,10058
"2262 Timrå","totalt ålder",17766,17828,17964
"2280 Härnösand","totalt ålder",25177,25129,24648
"2281 Sundsvall","totalt ålder",93284,94550,95794
"2282 Kramfors","totalt ålder",20741,19851,18961
"2283 Sollefteå","totalt ålder",21406,20888,20285
"2284 Örnsköldsvik","totalt ålder",55083,55244,55058
"2303 Ragunda","totalt ålder",6073,5793,5593
"2305 Bräcke","totalt ålder",7409,7189,6886
"2309 Krokom","totalt ålder",13990,14236,14484
"2313 Strömsund","totalt ålder",13393,12807,12189
"2321 Åre","totalt ålder",9659,9986,10256
"2326 Berg","totalt ålder",7967,7608,7355
"2361 Härjedalen","totalt ålder",11261,10765,10420
"2380 Östersund","totalt ålder",58169,58560,59427
"2401 Nordmaling","totalt ålder",7556,7424,7128
"2403 Bjurholm","totalt ålder",2607,2555,2446
"2404 Vindeln","totalt ålder",5987,5664,5516
"2409 Robertsfors","totalt ålder",7174,7006,6846
"2417 Norsjö","totalt ålder",4551,4454,4297
"2418 Malå","totalt ålder",3550,3361,3282
"2421 Storuman","totalt ålder",6698,6444,6128
"2422 Sorsele","totalt ålder",3041,2880,2748
"2425 Dorotea","totalt ålder",3232,3048,2874
"2460 Vännäs","totalt ålder",8453,8432,8424
"2462 Vilhelmina","totalt ålder",7665,7295,7128
"2463 Åsele","totalt ålder",3516,3282,3056
"2480 Umeå","totalt ålder",106463,111273,115229
"2481 Lycksele","totalt ålder",12873,12603,12408
"2482 Skellefteå","totalt ålder",71863,71927,71681
"2505 Arvidsjaur","totalt ålder",7031,6797,6544
"2506 Arjeplog","totalt ålder",3297,3152,3174
"2510 Jokkmokk","totalt ålder",5807,5480,5182
"2513 Överkalix","totalt ålder",4062,3845,3626
"2514 Kalix","totalt ålder",17809,17408,16744
"2518 Övertorneå","totalt ålder",5412,5174,4823
"2521 Pajala","totalt ålder",7217,6694,6310
"2523 Gällivare","totalt ålder",19408,19006,18443
"2560 Älvsbyn","totalt ålder",8844,8657,8335
"2580 Luleå","totalt ålder",72118,73233,74171
"2581 Piteå","totalt ålder",40519,40960,40894
"2582 Boden","totalt ålder",28307,28023,27420
"2583 Haparanda","totalt ålder",10342,10198,10053
"2584 Kiruna","totalt ålder",23598,23257,22916
"0000 Sverige","totalt ålder",8939367,9107935,9408320
